ProjectID   , Prj1234                          ,
ProjectName , PrjofMissdfds sdfsdfdd sdfdsfsfs ,
vvvid       , aud1                             , bwn2 , abc3 , xyg4 ,
dddid       , dp1                              , da2  , da3  , da4  ,
M001        , 10Hfsdfsdfsdfsdfsdfsdfjce        , B    , 1.5  , 2.0  , 2.0 , 7.5 , 7.0 , 2.5 , 7.0 , 7.5 , 2.5 , 7.0 , 2.5 , 7.0 , 7.5 , 7.0 , 7.0 , 2.5 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
S00101      , 11Comsfdsfsdfsdfsdfsdfsdfsdfance , B    , 1.5  , 2.0  , 2.0 , 7.5 , 7.0 , 2.5 , 7.0 , 7.5 , 2.5 , 7.0 , 2.5 , 7.0 , 7.5 , 7.0 , 7.0 , 2.5 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
S00102      , 12Sesfsdfsdfsdfsfy fdfdity       , B    , 1.5  , 2.0  , 2.0 , 7.5 , 1.2 , 2.5 , 7.0 , 7.5 , 2.5 , 7.0 , 2.5 , 7.0 , 7.5 , 7.0 , 7.0 , 2.5 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
S00103      , 13Hsdfdsfsdng sdfsdfofsdf        , B    , 1.5  , 2.0  , 2.0 , 7.5 , 7.0 , 2.5 , 7.0 , 7.5 , 2.5 , 7.0 , 2.5 , 7.0 , 7.5 , 7.0 , 7.0 , 2.5 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
S00104      , 14Resfsdfsdfle hands off         , B    , 1.5  , 2.0  , 2.0 , 7.5 , 7.0 , 2.5 , 7.0 , 7.5 , 2.5 , 7.0 , 2.5 , 7.0 , 7.5 , 7.0 , 7.0 , 2.5 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
M002        , 20Guiwerew Qerwety               , B    , 1.5  , 2.0  , 2.0 , 7.5 , 7.0 , 2.5 , 7.0 , 7.5 , 2.5 , 7.0 , 2.5 , 7.0 , 7.5 , 7.0 , 7.0 , 2.5 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
S00201      , 11Driewrg lewrw                  , B    , 1.5  , 2.0  , 2.0 , 7.5 , 7.0 , 2.5 , 7.0 , 7.5 , 2.5 , 7.0 , 2.5 , 7.0 , 7.5 , 7.0 , 7.0 , 2.5 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
S00202      , 12Trerew rerewion                , B    , 1.5  , 2.0  , 2.0 , 7.5 , 2.2 , 2.5 , 7.0 , 7.5 , 2.5 , 7.0 , 2.5 , 7.0 , 7.5 , 7.0 , 7.0 , 2.5 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
S00203      , 13Sewr shwer srweronary          , B    , 1.5  , 2.0  , 2.0 , 7.5 , 7.0 , 2.5 , 7.0 , 7.5 , 2.5 , 7.0 , 2.5 , 7.0 , 7.5 , 7.0 , 7.0 , 2.5 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
S00204      , 14Driwer- erwerte                , B    , 1.5  , 2.0  , 2.0 , 7.5 , 7.0 , 2.5 , 7.0 , 7.5 , 2.5 , 7.0 , 2.5 , 7.0 , 7.5 , 7.0 , 7.0 , 2.5 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
